countryname,gdp,population,gdp per capita,debt,foreign currency reserves,gold reserves
United States,3.06E+13,341697373.9,89599,3.80E+13,38330000000,1.18E+12
China,1.94E+13,1405083080,13806,1.71E+13,3.36E+12,3.34E+11
Germany,5.01E+12,83664146.85,59925,3.12E+12,4.82E+11,4.86E+11
Japan,4.28E+12,123291792.7,34713,1.01E+13,1.37E+12,1.23E+11
India,4.13E+12,1463879702,2818,3.38E+12,6.87E+11,1.28E+11
United Kingdom,3.96E+12,69867810.31,56661,3.71E+12,2.22E+11,44950000000
France,3.36E+12,68628414.52,48982,3.80E+12,363000000,3.53E+11
Italy,2.54E+12,58934616.9,43161,3.43E+12,3.66E+11,3.56E+11
Russia,2.54E+12,145629714.5,17446,4.17E+11,7.35E+11,3.38E+11
Canada,2.28E+12,41569108.95,54935,2.53E+12,1.28E+11,0
Brazil,2.26E+12,213358858,10578,1.73E+12,3.62E+11,21025000000
Spain,1.89E+12,49720583.6,38040,1.93E+12,1.09E+12,40890000000
Mexico,1.86E+12,133367222.7,13967,9.26E+11,2.50E+11,17400000000
South Korea,1.86E+12,51681552.75,35962,8.70E+11,4.28E+11,15080000000
Australia,1.83E+12,27742516.6,65946,8.01E+11,1.12E+11,11581150000
Turkey,1.57E+12,86024343.33,18198,3.87E+11,74560000000,92945000000
Indonesia,1.44E+12,284441466.3,5074,5.60E+11,1.56E+11,11392650000
Netherlands,1.32E+12,18047872.2,73174,5.77E+11,99605000000,88740000000
Saudi Arabia,1.27E+12,36006216.12,35231,3.32E+11,1.74E+12,46835000000
Poland,1.04E+12,36497068.63,28485,5.73E+11,2.71E+11,74675000000
Switzerland,1.00E+12,9029203.851,111047,1.57E+11,7.25E+11,1.51E+11
Taiwan,8.84E+11,23379781.64,37827,0,6026000000,61480000000
Belgium,7.17E+11,11866993.28,60418,7.46E+11,47026000000,32915000000
Ireland,7.09E+11,5488732.46,129132,2.75E+11,11685000000,1745800000
Argentina,6.83E+11,47591823.94,14359,5.69E+11,32745000000,8952300000
Sweden,6.62E+11,10676349.22,62036,2.25E+11,6.83E+11,18270000000
Israel,6.11E+11,10177673.35,60009,4.21E+11,2.29E+11,0
Singapore,5.74E+11,6077253.628,94481,9.93E+11,5.26E+11,29725000000
United Arab Emirates,5.69E+11,11083138.58,51348,1.83E+11,992000000,10788000000
Austria,5.66E+11,9181703.245,61694,4.63E+11,44608000000,40600000000
Thailand,5.59E+11,70331528.58,7942,3.56E+11,2.82E+11,34075000000
Norway,5.17E+11,5627769.797,91884,2.85E+11,8.79E+11,0
Philippines,4.94E+11,114361953.3,4321,3.00E+11,1.11E+11,19140000000
Vietnam,4.85E+11,102155110.6,4745,1.59E+11,82209000000,0
Bangladesh,4.75E+11,173742136.1,2734,1.53E+11,31072000000,2070600000
Malaysia,4.71E+11,33851665.35,13901,3.31E+11,1.26E+11,5637600000
Denmark,4.60E+11,6001645.317,76581,1.43E+11,6.51E+11,9649750000
Colombia,4.38E+11,53112013.58,8249,2.69E+11,66124000000,678600000
Hong Kong,4.28E+11,7533477.588,56844,39825669000,4.28E+11,301600000
South Africa,4.26E+11,63954252.29,6667,3.28E+11,75892000000,18125000000
Romania,4.23E+11,18831699.06,22436,2.32E+11,64800000000,15080000000
Pakistan,4.10E+11,240477445.8,1707,3.28E+11,21012000000,9390200000
Czech Republic (Czechia),3.83E+11,10903671.68,35161,0,0,0
Iran,3.57E+11,87509327.44,4074,1.31E+11,0,0
Egypt,3.49E+11,109452836.1,3191,2.90E+11,51450000000,18705000000
Chile,3.47E+11,20206856.41,17181,1.45E+11,48659000000,36250000
Portugal,3.38E+11,10757154.23,31415,3.16E+11,58011000000,55535000000
Peru,3.18E+11,34407951.6,9256,1.04E+11,93216000000,5027150000
Finland,3.15E+11,5611653.948,56084,2.58E+11,18804000000,6345200000
Kazakhstan,3.00E+11,20379813.9,14723,71112324000,62070000000,46980000000
Algeria,2.88E+11,47253978.67,6095,1.33E+11,0,25230000000
Nigeria,2.85E+11,237502500,1200,1.51E+11,45450000000,0
Greece,2.82E+11,10379793.89,27170,4.34E+11,20051000000,16675000000
Iraq,2.65E+11,45516975.31,5832,1.14E+11,1.27E+11,23925000000
New Zealand,2.63E+11,5323876.638,49383,1.19E+11,48654000000,0
Hungary,2.48E+11,9560078.716,25916,1.82E+11,50157000000,15950000000
Qatar,2.22E+11,3109125.012,71441,90624552000,2.62E+11,16820000000
Ukraine,2.10E+11,32860075.21,6382,1.88E+11,57300000000,3968650000
Cuba,2.02E+11,11020022.81,18329,2.40E+11,0,0
Morocco,1.80E+11,37709846.74,4763,1.26E+11,4.33E+11,3207400000
Kuwait,1.57E+11,5111800.032,30805,4724070000,12508000000,11450650000
Slovakia,1.55E+11,5419541.439,28524,92288439000,15407000000,4595050000
Uzbekistan,1.37E+11,37696737.04,3647,48118000000,66312000000,52345000000
Kenya,1.36E+11,53359748.92,2549,89089170000,16892000000,2900000
Ecuador,1.31E+11,18103883.5,7210,66047674000,9685000000,3810600000
Dominican Republic,1.30E+11,10885812.57,11919,59943576000,14691000000,82650000
Bulgaria,1.28E+11,6262802.311,20426,30829684000,80796000000,6224850000
Puerto Rico,1.27E+11,3175239.625,39854,0,0,0
Guatemala,1.21E+11,18655449.21,6478,33717150000,32023000000,888850000
Angola,1.15E+11,39292732.86,2931,67027194000,15533000000,0
Ghana,1.12E+11,35065142.5,3193,78933915000,11411000000,5373700000
Ethiopia,1.09E+11,110152917.5,994,35037440000,0,0
Oman,1.05E+11,5501856.792,19119,37342450000,7564000000,975850000
