countryname,gdp,population,gdp per capita,debt,foreign currency reserves,gold reserves
Croatia,1.04E+11,3854180.577,26958,59950877000,3418000000,0
Costa Rica,1.03E+11,5372539.782,19104,76136126600,17082000000,0
Luxembourg,1.01E+11,685488.1554,146818,26468846000,2615000000,324800000
Serbia,1.00E+11,6529695.862,15322,47222656000,29367000000,7495050000
C̫te d'Ivoire,99207000000,32893567.64,3016,0,0,0
Sri Lanka,98964000000,22881849.71,4325,95104404000,6033000000,68150000
Lithuania,95274000000,2888666.545,32982,36204120000,6035000000,843900000
Panama,90408000000,4565599.434,19802,51170928000,0,0
Tanzania,87444000000,67161290.32,1302,42148008000,0,0
Belarus,85739000000,9087334.393,9435,0,14426000000,7809700000
